Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Ship Date,Year,Month
293.0,2012-10-01,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,2012-10-02 00:00:00,2012,10
293.0,2012-10-01,High,27,244.57,0.01,Regular Air,46.7075,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ® Ring Binder, Heavy Gauge Vinyl",Small Box,2012-10-03 00:00:00,2012,10
515.0,2010-08-28,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,2010-08-30 00:00:00,2010,8
613.0,2011-06-17,High,12,93.54,0.03,Regular Air,-54.0385,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,2011-06-17 00:00:00,2011,6
613.0,2011-06-17,High,22,905.08,0.09,Regular Air,ASD127.7,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,2011-06-18 00:00:00,2011,6
643.0,2011-03-24,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,2011-03-25 00:00:00,2011,3
678.0,2010-02-26,Low,ABC,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,2010-02-26 00:00:00,2010,2
807.0,2010-11-23,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,2010-11-24 00:00:00,2010,11
807.0,2010-11-23,Medium,32,124.56,0.04,Regular Air,-14.33,3.95,BCD,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,2010-11-24 00:00:00,2010,11
868.0,2012-06-08,Not Specified,32,716.84,0.0,Regular Air,134.72,434.22,5.94,25,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,2012-06-09 00:00:00,2012,6
933.0,2012-08-04,Not Specified,15,ABCB ,0.02,Regular Air,-4.715,-69.0,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLockÂ® Ring Binders",Small Box,2012-08-04 00:00:00,2012,8
995.0,2011-05-30,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,2011-05-31 00:00:00,2011,5
998.0,2009-11-25,Not Specified,16,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,2009-11-26 00:00:00,2009,11
1154.0,2012-02-14,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,-567,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,2012-02-16 00:00:00,2012,2
1154.0,2012-02-14,Critical,11,663.7840000000001,0.25,Regular Air,-481.041,71.37,69,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,2012-02-16 00:00:00,2012,2
1344.0,2012-04-15,Low,XYZ15,834.904,0.06,Regular Air,-11.681999999999999,65.99,5.26,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,2012-04-22 00:00:00,2012,4
